customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
704631,3,A,201601,20,4,7,20160127.0,20160106.0,7584.88,1145.01
704631,3,A,201602,18,6,7,20160229.0,20160202.0,15756.84,2575.44
704631,3,A,201603,14,10,10,20160325.0,20160303.0,34679.53,3115.66
704631,3,A,201604,17,8,11,20160429.0,20160408.0,18029.8,1247.39
704631,3,A,201605,2,2,2,20160524.0,20160523.0,4279.42,786.11
704631,3,A,201606,3,2,1,20160624.0,20160624.0,1694.2,419.89
704631,3,A,201607,7,6,4,20160726.0,20160701.0,7630.44,1101.38
704631,3,A,201608,18,8,7,20160826.0,20160804.0,50749.77,6815.39
704631,3,A,201609,6,4,6,20160923.0,20160901.0,13849.74,1101.42
704631,3,A,201610,4,4,5,20161024.0,20161003.0,10219.4,925.13
704631,3,A,201611,9,4,5,20161128.0,20161109.0,20722.57,2300.27
704631,3,A,201701,8,2,5,20170130.0,20170110.0,5031.16,739.22
704631,3,A,201702,6,2,3,20170228.0,20170224.0,5086.65,898.06
704631,3,A,201703,14,5,9,20170327.0,20170301.0,30034.28,3786.31
704631,3,A,201704,15,4,4,20170420.0,20170407.0,16108.09,1917.45
704631,3,A,201705,9,7,6,20170516.0,20170501.0,5139.65,1730.43
704631,3,A,201706,5,2,3,20170629.0,20170619.0,3616.73,684.09
704631,3,A,201707,11,5,6,20170727.0,20170705.0,6681.48,1061.76
704631,3,A,201708,17,4,8,20170818.0,20170803.0,9631.87,1787.9
704631,3,A,201709,5,3,4,20170913.0,20170906.0,3850.32,262.53
704631,3,A,201710,18,7,8,20171030.0,20171002.0,17321.3,2838.79
704631,3,A,201711,7,2,3,20171122.0,20171101.0,3099.4,478.66
704631,3,A,201712,12,4,6,20171229.0,20171205.0,9358.07,1476.99
704631,3,A,201801,12,5,5,20180122.0,20180112.0,5316.99,1070.46
704631,3,A,201802,11,3,5,20180227.0,20180202.0,9485.94,1295.31
704631,3,A,201803,32,4,9,20180329.0,20180301.0,11045.13,1326.07
704631,3,A,201804,23,14,13,20180427.0,20180402.0,38747.17,3836.26
704631,3,A,201805,21,13,10,20180529.0,20180501.0,56073.4,5665.44
704631,3,A,201806,11,6,7,20180629.0,20180605.0,15569.77,1728.68
704631,3,A,201807,26,7,9,20180727.0,20180703.0,30146.57,3587.35
704631,3,A,201808,26,7,7,20180821.0,20180801.0,13610.68,1919.15
704631,3,A,201809,11,8,9,20180928.0,20180905.0,20017.14,2482.58
704631,3,A,201810,15,5,9,20181025.0,20181003.0,15977.2,2181.36
704631,3,A,201811,21,5,8,20181130.0,20181102.0,14379.34,2314.28
704631,3,A,201812,3,1,1,20181218.0,20181218.0,2720.0,560.0
704631,3,A,201901,11,7,6,20190128.0,20190109.0,13463.9,1862.53
704631,3,A,201902,14,4,6,20190227.0,20190205.0,7086.4,1452.94
704631,3,A,201903,14,5,4,20190327.0,20190304.0,20142.98,2138.18
704631,3,A,201904,3,3,3,20190417.0,20190409.0,6219.1,721.37
704631,3,A,201905,9,3,5,20190520.0,20190503.0,7863.38,1342.66
704631,3,A,201906,2,2,2,20190628.0,20190604.0,1383.81,244.34
704631,3,A,201907,6,3,6,20190730.0,20190702.0,9214.61,1476.59
704631,3,A,201908,9,7,8,20190828.0,20190801.0,24098.6,4066.7
704631,3,A,201909,10,4,5,20190925.0,20190904.0,9442.37,1725.76
704631,3,A,201910,19,6,7,20191024.0,20191002.0,10186.1,1629.65
704631,3,A,201911,6,4,4,20191119.0,20191105.0,4356.39,569.55
704631,3,A,201912,3,2,3,20191213.0,20191204.0,14639.3,860.51
