customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
710975,5,C,201603,2,2,2,20160314.0,20160301.0,455.04,99.14,2016-03-01,,1
710975,5,C,201604,5,4,3,20160420.0,20160404.0,770.84,164.74,2016-04-01,31 days,1
710975,5,C,201605,15,9,5,20160531.0,20160505.0,3182.09,702.77,2016-05-01,30 days,1
710975,5,C,201606,26,10,8,20160623.0,20160603.0,23109.08,4133.97,2016-06-01,31 days,1
710975,5,C,201607,6,6,4,20160713.0,20160705.0,491.25,185.0,2016-07-01,30 days,1
710975,5,C,201608,1,1,1,20160829.0,20160829.0,-297.07,70.7,2016-08-01,31 days,1
710975,5,C,201609,1,1,1,20160916.0,20160916.0,-75.17,105.57,2016-09-01,31 days,1
710975,5,C,201610,3,3,2,20161028.0,20161024.0,4276.63,745.78,2016-10-01,30 days,1
710975,5,C,201611,0,0,0,,,0.0,0.0,2016-11-01,31 days,1
710975,5,C,201612,12,6,3,20161212.0,20161201.0,114.2,41.94,2016-12-01,30 days,1
710975,5,C,201701,3,3,2,20170126.0,20170112.0,852.69,299.6,2017-01-01,31 days,1
710975,5,C,201702,0,0,0,,,0.0,0.0,2017-02-01,31 days,1
710975,5,C,201703,3,3,3,20170322.0,20170315.0,1069.14,247.36,2017-03-01,28 days,1
710975,5,C,201705,1,1,1,20170517.0,20170517.0,89.43,23.08,2017-05-01,61 days,1
710975,5,C,201706,1,1,1,20170609.0,20170609.0,37.61,15.52,2017-06-01,31 days,1
710975,5,C,201801,5,3,2,20180131.0,20180130.0,2791.88,628.68,2018-01-01,214 days,1
710975,5,C,201802,2,2,2,20180208.0,20180201.0,145.72,23.57,2018-02-01,31 days,1
710975,5,C,201806,6,4,3,20180629.0,20180613.0,1532.83,414.23,2018-06-01,120 days,1
710975,5,C,201807,1,1,1,20180710.0,20180710.0,41.9,7.31,2018-07-01,30 days,1
710975,5,C,201808,6,2,3,20180823.0,20180810.0,492.16,179.44,2018-08-01,31 days,1
710975,5,C,201809,1,1,1,20180911.0,20180911.0,1719.8,459.8,2018-09-01,31 days,1
710975,5,C,201901,1,1,1,20190108.0,20190108.0,101.58,35.47,2019-01-01,122 days,1
710975,5,C,201906,3,3,2,20190627.0,20190626.0,823.6,227.84,2019-06-01,151 days,1
710975,5,C,201907,24,7,5,20190722.0,20190703.0,9865.07,1962.04,2019-07-01,30 days,1
710975,5,C,201908,2,1,1,20190805.0,20190805.0,-862.63,-169.27,2019-08-01,31 days,1
710975,5,C,201910,0,0,0,,,-339.68,-53.82,2019-10-01,61 days,1
